STATENAME,ST_CASE,COUNTYNAME,MONTHNAME,DAY_WEEKNAME,LGT_CONDNAME,HOUR,HOURNAME,ROUTENAME,WEATHERNAME,FATALS
florida,123605,palm beach,April,Saturday,Dark - Not Lighted,23,11:00pm-11:59pm,State Highway,Clear,1
florida,123606,martin,August,Monday,Daylight,10,10:00am-10:59am,State Highway,Clear,1
florida,123607,st lucie,May,Saturday,Daylight,19,7:00pm-7:59pm,Local Street - Municipality,Clear,1
florida,123608,indian river,November,Thursday,Dark - Not Lighted,20,8:00pm-8:59pm,County Road,Unknown,1
florida,123609,brevard,September,Tuesday,Daylight,12,12:00pm-12:59pm,State Highway,Cloudy,1
florida,123610,polk,July,Friday,Daylight,16,4:00pm-4:59pm,State Highway,Clear,1
florida,123611,miami-dade,September,Monday,Dark - Lighted,20,8:00pm-8:59pm,Local Street - Municipality,Cloudy,2
florida,123612,palm beach,April,Saturday,Dark - Not Lighted,2,2:00am-2:59am,U.S. Highway,Clear,1
florida,123613,indian river,October,Wednesday,Dark - Not Lighted,22,10:00pm-10:59pm,Unknown,Clear,1
florida,123614,okaloosa,July,Friday,Dark - Lighted,21,9:00pm-9:59pm,U.S. Highway,Clear,1
florida,123615,miami-dade,June,Wednesday,Daylight,19,7:00pm-7:59pm,U.S. Highway,Clear,1
florida,123616,broward,January,Wednesday,Dark - Lighted,23,11:00pm-11:59pm,State Highway,Clear,1
florida,123617,broward,June,Thursday,Daylight,17,5:00pm-5:59pm,Local Street - Municipality,Clear,1
florida,123618,brevard,July,Saturday,Dark - Lighted,5,5:00am-5:59am,U.S. Highway,Clear,1
florida,123619,broward,May,Saturday,Daylight,19,7:00pm-7:59pm,Local Street - Municipality,Clear,1
florida,123620,columbia,September,Wednesday,Daylight,9,9:00am-9:59am,U.S. Highway,Clear,1
florida,123621,broward,September,Tuesday,Daylight,11,11:00am-11:59am,State Highway,Cloudy,1
florida,123622,duval,October,Friday,Dark - Lighted,7,7:00am-7:59am,U.S. Highway,Clear,1
florida,123623,palm beach,December,Tuesday,Dark - Unknown Lighting,6,6:00am-6:59am,Unknown,Clear,1
florida,123624,pinellas,November,Wednesday,Daylight,7,7:00am-7:59am,U.S. Highway,Clear,1
florida,123625,miami-dade,June,Friday,Dark - Lighted,5,5:00am-5:59am,Local Street - Municipality,Cloudy,1
florida,123626,miami-dade,April,Sunday,Dark - Lighted,2,2:00am-2:59am,State Highway,Clear,2
florida,123627,miami-dade,May,Sunday,Dark - Not Lighted,2,2:00am-2:59am,Local Street - Municipality,Clear,1
florida,123628,miami-dade,May,Friday,Dawn,6,6:00am-6:59am,Local Street - Municipality,Clear,1
florida,123629,broward,December,Thursday,Dark - Lighted,20,8:00pm-8:59pm,Local Street - Municipality,Clear,1
florida,123630,st johns,October,Sunday,Daylight,16,4:00pm-4:59pm,Unknown,Clear,1
